timestamp,sensor_id,temperature,humidity,pressure,status
2024-01-01T00:40:00,S004,24.4,46.3,1014.4,OK
2024-01-01T01:47:00,S018,26.8,53.9,1015.7,OK
2024-01-01T02:05:00,S007,22.4,58.5,1005.6,OK
2024-01-01T03:34:00,S014,20.2,47.5,1019.6,OK
2024-01-01T04:48:00,S006,21.1,36.4,1020.0,ERROR
2024-01-01T05:06:00,S003,28.2,38.1,1016.2,ERROR
2024-01-01T06:38:00,S009,23.7,29.9,999.9,OK
2024-01-01T07:05:00,S018,20.2,41.2,1019.8,ERROR
2024-01-01T08:36:00,S007,21.7,42.1,1013.6,OK
2024-01-01T09:54:00,S008,24.5,51.5,1009.4,OK
2024-01-01T10:40:00,S012,23.5,53.0,1009.3,OK
2024-01-01T11:41:00,S003,17.9,40.3,1011.1,OK
2024-01-01T12:15:00,S006,19.7,46.9,1019.8,WARN
2024-01-01T13:43:00,S011,19.9,54.5,1005.8,WARN
2024-01-01T14:52:00,S002,23.0,35.5,1023.1,OK
2024-01-01T15:56:00,S011,24.7,47.7,1018.7,OK
2024-01-01T16:29:00,S005,21.8,52.5,1009.4,OK
2024-01-01T17:27:00,S019,21.1,39.3,1015.1,WARN
2024-01-01T18:32:00,S016,22.8,46.7,1018.4,OK
2024-01-01T19:27:00,S020,24.7,54.0,1014.9,OK
2024-01-01T20:33:00,S009,27.9,41.4,1021.0,OK
2024-01-01T21:56:00,S018,22.3,45.1,1004.4,ERROR
2024-01-01T22:07:00,S010,19.0,49.4,1022.8,ERROR
2024-01-01T23:32:00,S006,20.2,40.3,1012.9,OK
2024-01-01T00:19:00,S017,20.7,41.4,1013.5,OK
2024-01-01T01:58:00,S001,18.3,35.6,1009.6,OK
2024-01-01T02:59:00,S012,26.1,32.0,1012.4,OK
2024-01-01T03:05:00,S003,23.0,42.9,1003.9,OK
2024-01-01T04:49:00,S005,24.4,53.2,1009.3,OK
2024-01-01T05:27:00,S007,21.3,60.1,1009.4,OK
2024-01-01T06:12:00,S010,18.4,53.8,1005.5,OK
2024-01-01T07:07:00,S008,26.6,46.4,1017.5,OK
2024-01-01T08:35:00,S008,21.7,44.4,1012.5,OK
2024-01-01T09:57:00,S002,21.0,47.4,1011.5,WARN
2024-01-01T10:17:00,S016,22.4,50.2,1019.0,OK
2024-01-01T11:15:00,S016,20.5,47.3,1010.0,OK
2024-01-01T12:42:00,S014,20.1,53.2,1014.1,OK
2024-01-01T13:41:00,S004,21.2,60.0,1016.0,OK
2024-01-01T14:15:00,S007,23.2,55.2,1009.4,WARN
2024-01-01T15:55:00,S003,23.1,26.4,1016.5,OK
2024-01-01T16:06:00,S002,19.8,34.8,1015.2,WARN
2024-01-01T17:10:00,S014,22.1,38.1,1013.3,OK
2024-01-01T18:57:00,S002,22.1,45.6,1004.2,OK
2024-01-01T19:18:00,S014,26.4,39.7,1005.4,OK
2024-01-01T20:42:00,S016,23.4,51.9,1019.5,OK
2024-01-01T21:03:00,S011,21.2,57.4,1015.3,OK
2024-01-01T22:58:00,S017,26.2,66.3,1015.8,OK
2024-01-01T23:04:00,S008,22.9,25.4,1019.8,OK
2024-01-01T00:15:00,S019,18.5,37.2,1007.2,OK
2024-01-01T01:20:00,S009,23.9,49.5,1020.6,WARN
2024-01-01T02:16:00,S013,24.9,55.6,1001.9,OK
2024-01-01T03:00:00,S015,23.8,35.7,1008.6,OK
2024-01-01T04:04:00,S018,22.5,52.6,1022.4,WARN
2024-01-01T05:23:00,S010,19.5,55.4,1020.9,OK
2024-01-01T06:19:00,S020,27.4,43.2,1005.7,OK
2024-01-01T07:19:00,S004,21.2,50.0,1012.0,OK
2024-01-01T08:56:00,S004,21.9,39.2,1012.3,ERROR
2024-01-01T09:13:00,S009,24.0,37.4,1012.9,OK
2024-01-01T10:05:00,S014,22.4,42.4,1011.7,ERROR
2024-01-01T11:10:00,S015,23.4,35.0,1011.3,OK
2024-01-01T12:07:00,S003,26.3,39.8,1013.8,ERROR
2024-01-01T13:37:00,S018,22.7,48.1,1015.1,ERROR
2024-01-01T14:23:00,S002,23.7,40.9,1013.0,OK
2024-01-01T15:56:00,S014,23.4,61.4,1011.6,WARN
2024-01-01T16:55:00,S006,27.4,42.3,1013.8,OK
2024-01-01T17:59:00,S011,21.5,47.1,1008.0,OK
2024-01-01T18:55:00,S008,21.4,62.5,1020.9,OK
2024-01-01T19:14:00,S007,25.8,49.5,1007.9,ERROR
2024-01-01T20:52:00,S008,22.7,59.5,1009.8,OK
2024-01-01T21:49:00,S009,23.4,37.9,1017.8,OK
2024-01-01T22:53:00,S018,21.7,47.1,1015.8,OK
2024-01-01T23:16:00,S002,20.4,53.3,1016.4,OK
2024-01-01T00:50:00,S011,14.0,56.2,1021.0,WARN
2024-01-01T01:16:00,S002,26.3,44.9,1012.7,OK
2024-01-01T02:43:00,S007,21.2,47.9,1010.7,ERROR
2024-01-01T03:42:00,S004,19.7,43.4,1008.9,ERROR
2024-01-01T04:42:00,S014,19.9,58.7,1009.9,OK
2024-01-01T05:24:00,S006,21.3,38.7,1010.2,OK
2024-01-01T06:53:00,S001,21.3,51.5,1014.5,ERROR
2024-01-01T07:29:00,S015,18.0,38.5,1014.2,OK
2024-01-01T08:50:00,S006,20.7,38.1,1009.4,OK
2024-01-01T09:52:00,S008,18.4,41.7,1009.8,WARN
2024-01-01T10:09:00,S001,30.3,53.2,1006.5,OK
2024-01-01T11:26:00,S019,18.7,50.3,1020.3,OK
2024-01-01T12:25:00,S008,24.7,57.2,1020.8,OK
2024-01-01T13:49:00,S014,18.3,48.5,1021.9,OK
2024-01-01T14:33:00,S015,24.2,47.3,1016.2,OK
2024-01-01T15:42:00,S017,19.3,58.4,1012.5,OK
2024-01-01T16:39:00,S017,16.1,54.7,1010.2,OK
2024-01-01T17:28:00,S009,22.6,45.2,1003.4,ERROR
2024-01-01T18:49:00,S017,19.8,45.7,1005.7,WARN
2024-01-01T19:17:00,S011,23.7,39.7,1018.6,WARN
2024-01-01T20:09:00,S008,20.7,48.9,1014.2,ERROR
2024-01-01T21:34:00,S015,25.0,39.1,1014.7,OK
2024-01-01T22:24:00,S019,22.6,44.3,1017.8,OK
2024-01-01T23:00:00,S012,19.3,42.0,1017.7,OK
2024-01-01T00:34:00,S018,24.0,24.7,1009.0,OK
